esmini GIT REV: N/A
esmini GIT TAG: N/A
esmini GIT BRANCH: N/A
esmini BUILD VERSION: N/A - client build
Scenario File Name: ../../resources/xosc/synchronize.xosc
Number of Vehicles: 7
Index [-] , TimeStamp [sec] , #1 Entitity_Name [-] , #1 Entitity_ID [-] , #1 Current_Speed [m/sec] , #1 Wheel_Angle [deg] , #1 Wheel_Rotation [-] , #1 World_Position_X [-] , #1 World_Position_Y [-] , #1 World_Position_Z [-] , #1 Distance_Travelled_Along_Road_Segment [m] , #1 Lateral_Distance_Lanem [m] , #1 World_Heading_Angle [rad] , #1 Relative_Heading_Angle [rad] , #1 Relative_Heading_Angle_Drive_Direction [rad] , #1 World_Pitch_Angle [rad] , #1 Road_Curvature [1/m] , #2 Entitity_Name [-] , #2 Entitity_ID [-] , #2 Current_Speed [m/sec] , #2 Wheel_Angle [deg] , #2 Wheel_Rotation [-] , #2 World_Position_X [-] , #2 World_Position_Y [-] , #2 World_Position_Z [-] , #2 Distance_Travelled_Along_Road_Segment [m] , #2 Lateral_Distance_Lanem [m] , #2 World_Heading_Angle [rad] , #2 Relative_Heading_Angle [rad] , #2 Relative_Heading_Angle_Drive_Direction [rad] , #2 World_Pitch_Angle [rad] , #2 Road_Curvature [1/m] , #3 Entitity_Name [-] , #3 Entitity_ID [-] , #3 Current_Speed [m/sec] , #3 Wheel_Angle [deg] , #3 Wheel_Rotation [-] , #3 World_Position_X [-] , #3 World_Position_Y [-] , #3 World_Position_Z [-] , #3 Distance_Travelled_Along_Road_Segment [m] , #3 Lateral_Distance_Lanem [m] , #3 World_Heading_Angle [rad] , #3 Relative_Heading_Angle [rad] , #3 Relative_Heading_Angle_Drive_Direction [rad] , #3 World_Pitch_Angle [rad] , #3 Road_Curvature [1/m] , #4 Entitity_Name [-] , #4 Entitity_ID [-] , #4 Current_Speed [m/sec] , #4 Wheel_Angle [deg] , #4 Wheel_Rotation [-] , #4 World_Position_X [-] , #4 World_Position_Y [-] , #4 World_Position_Z [-] , #4 Distance_Travelled_Along_Road_Segment [m] , #4 Lateral_Distance_Lanem [m] , #4 World_Heading_Angle [rad] , #4 Relative_Heading_Angle [rad] , #4 Relative_Heading_Angle_Drive_Direction [rad] , #4 World_Pitch_Angle [rad] , #4 Road_Curvature [1/m] , #5 Entitity_Name [-] , #5 Entitity_ID [-] , #5 Current_Speed [m/sec] , #5 Wheel_Angle [deg] , #5 Wheel_Rotation [-] , #5 World_Position_X [-] , #5 World_Position_Y [-] , #5 World_Position_Z [-] , #5 Distance_Travelled_Along_Road_Segment [m] , #5 Lateral_Distance_Lanem [m] , #5 World_Heading_Angle [rad] , #5 Relative_Heading_Angle [rad] , #5 Relative_Heading_Angle_Drive_Direction [rad] , #5 World_Pitch_Angle [rad] , #5 Road_Curvature [1/m] , #6 Entitity_Name [-] , #6 Entitity_ID [-] , #6 Current_Speed [m/sec] , #6 Wheel_Angle [deg] , #6 Wheel_Rotation [-] , #6 World_Position_X [-] , #6 World_Position_Y [-] , #6 World_Position_Z [-] , #6 Distance_Travelled_Along_Road_Segment [m] , #6 Lateral_Distance_Lanem [m] , #6 World_Heading_Angle [rad] , #6 Relative_Heading_Angle [rad] , #6 Relative_Heading_Angle_Drive_Direction [rad] , #6 World_Pitch_Angle [rad] , #6 Road_Curvature [1/m] , #7 Entitity_Name [-] , #7 Entitity_ID [-] , #7 Current_Speed [m/sec] , #7 Wheel_Angle [deg] , #7 Wheel_Rotation [-] , #7 World_Position_X [-] , #7 World_Position_Y [-] , #7 World_Position_Z [-] , #7 Distance_Travelled_Along_Road_Segment [m] , #7 Lateral_Distance_Lanem [m] , #7 World_Heading_Angle [rad] , #7 Relative_Heading_Angle [rad] , #7 Relative_Heading_Angle_Drive_Direction [rad] , #7 World_Pitch_Angle [rad] , #7 Road_Curvature [1/m] , 
0 , 0.100000 , Ego , 0 , 0.000000 , 0.000000 , 0.000000 , 8.380468 , 99.961649 , -0.136572 , 100.000000 , -8.000000, 1.566092, 0.000000, 0.000000, 0.000000 , -0.000027 ,NPC1 , 1 , 0.000000 , 0.000000 , 0.000000 , 5.080019 , 149.970293 , -0.249217 , 150.000000 , -4.425000, 1.564406, 0.000000, 0.000000,  0.002161 , -0.000040,NPC2 , 2 , 0.000000 , 0.000000 , 0.000000 , 8.067435 , 19.972614 , -0.007115 , 20.000000 , -8.000000, 1.567386, 0.000000, 0.000000,  0.000691 , -0.000005,NPC3 , 3 , 0.000000 , 0.000000 , 0.000000 , 11.950249 , 69.952571 , -0.074509 , 70.000000 , -11.700000, 1.566780, 0.000000, 0.000000,  0.001876 , -0.000019,NPC4 , 4 , 0.000000 , 0.000000 , 0.000000 , 8.791109 , 169.940193 , -0.290671 , 170.000000 , -8.000000, 1.563550, 0.000000, 0.000000,  0.001991 , -0.000045,MS1 , 5 , 0.000000 , 0.000000 , 0.000000 , 17.273021 , 299.760818 , -0.527586 , 300.000000 , -15.075000, 1.555571, 0.000000, 0.000000,  0.001923 , -0.000090,MS2 , 6 , 0.000000 , 0.000000 , 0.000000 , 23.378392 , 499.074109 , -0.840372 , 500.000000 , -15.075000, 1.516886, 0.000000, 0.000000,  0.000500 , -0.000320,
7 , 0.190000 , Ego , 0 , 0.000000 , 0.000000 , 0.000000 , 8.380468 , 99.961649 , -0.136567 , 99.997528 , -8.000000, 1.566092, 6.283185, -0.000000, 0.002215 , -0.000027 ,NPC1 , 1 , 0.000000 , 0.000000 , 0.000000 , 5.080019 , 149.970293 , -0.249217 , 150.000000 , -4.425000, 1.564406, 0.000000, 0.000000,  0.002161 , -0.000040,NPC2 , 2 , 0.000000 , 0.000000 , 0.000000 , 8.067435 , 19.972614 , -0.007115 , 20.000000 , -8.000000, 1.567386, 0.000000, 0.000000,  0.000691 , -0.000005,NPC3 , 3 , 0.000000 , 0.000000 , 0.000000 , 11.950249 , 69.952571 , -0.074509 , 70.000000 , -11.700000, 1.566780, 0.000000, 0.000000,  0.001876 , -0.000019,NPC4 , 4 , 0.000000 , 0.000000 , 0.000000 , 8.791109 , 169.940193 , -0.290671 , 170.000000 , -8.000000, 1.563550, 0.000000, 0.000000,  0.001991 , -0.000045,MS1 , 5 , 0.000000 , 0.000000 , 0.000000 , 17.273021 , 299.760818 , -0.527586 , 300.000000 , -15.075000, 1.555571, 0.000000, 0.000000,  0.001923 , -0.000090,MS2 , 6 , 0.000000 , 0.000000 , 0.000000 , 23.378392 , 499.074109 , -0.840372 , 500.000000 , -15.075000, 1.516886, 0.000000, 0.000000,  0.000500 , -0.000320,
14 , 0.216000 , Ego , 0 , 0.000000 , 0.000000 , 0.000000 , 8.380468 , 99.961649 , -0.136567 , 99.997528 , -8.000000, 1.566092, 6.283185, -0.000000, 0.002215 , -0.000027 ,NPC1 , 1 , 0.000000 , 0.000000 , 0.000000 , 5.080019 , 149.970293 , -0.249217 , 150.000000 , -4.425000, 1.564406, 0.000000, 0.000000,  0.002161 , -0.000040,NPC2 , 2 , 0.000000 , 0.000000 , 0.000000 , 8.067435 , 19.972614 , -0.007115 , 20.000000 , -8.000000, 1.567386, 0.000000, 0.000000,  0.000691 , -0.000005,NPC3 , 3 , 0.000000 , 0.000000 , 0.000000 , 11.950249 , 69.952571 , -0.074509 , 70.000000 , -11.700000, 1.566780, 0.000000, 0.000000,  0.001876 , -0.000019,NPC4 , 4 , 0.000000 , 0.000000 , 0.000000 , 8.791109 , 169.940193 , -0.290671 , 170.000000 , -8.000000, 1.563550, 0.000000, 0.000000,  0.001991 , -0.000045,MS1 , 5 , 0.000000 , 0.000000 , 0.000000 , 17.273021 , 299.760818 , -0.527586 , 300.000000 , -15.075000, 1.555571, 0.000000, 0.000000,  0.001923 , -0.000090,MS2 , 6 , 0.000000 , 0.000000 , 0.000000 , 23.378392 , 499.074109 , -0.840372 , 500.000000 , -15.075000, 1.516886, 0.000000, 0.000000,  0.000500 , -0.000320,
21 , 0.255000 , Ego , 0 , 0.000000 , 0.000000 , 0.000000 , 8.380468 , 99.961649 , -0.136567 , 99.997528 , -8.000000, 1.566092, 6.283185, -0.000000, 0.002215 , -0.000027 ,NPC1 , 1 , 0.000000 , 0.000000 , 0.000000 , 5.080019 , 149.970293 , -0.249217 , 150.000000 , -4.425000, 1.564406, 0.000000, 0.000000,  0.002161 , -0.000040,NPC2 , 2 , 0.000000 , 0.000000 , 0.000000 , 8.067435 , 19.972614 , -0.007115 , 20.000000 , -8.000000, 1.567386, 0.000000, 0.000000,  0.000691 , -0.000005,NPC3 , 3 , 0.000000 , 0.000000 , 0.000000 , 11.950249 , 69.952571 , -0.074509 , 70.000000 , -11.700000, 1.566780, 0.000000, 0.000000,  0.001876 , -0.000019,NPC4 , 4 , 0.000000 , 0.000000 , 0.000000 , 8.791109 , 169.940193 , -0.290671 , 170.000000 , -8.000000, 1.563550, 0.000000, 0.000000,  0.001991 , -0.000045,MS1 , 5 , 0.000000 , 0.000000 , 0.000000 , 17.273021 , 299.760818 , -0.527586 , 300.000000 , -15.075000, 1.555571, 0.000000, 0.000000,  0.001923 , -0.000090,MS2 , 6 , 0.000000 , 0.000000 , 0.000000 , 23.378392 , 499.074109 , -0.840372 , 500.000000 , -15.075000, 1.516886, 0.000000, 0.000000,  0.000500 , -0.000320,
28 , 0.269000 , Ego , 0 , 0.000000 , 0.000000 , 0.000000 , 8.380468 , 99.961649 , -0.136567 , 99.997528 , -8.000000, 1.566092, 6.283185, -0.000000, 0.002215 , -0.000027 ,NPC1 , 1 , 0.000000 , 0.000000 , 0.000000 , 5.080019 , 149.970293 , -0.249217 , 150.000000 , -4.425000, 1.564406, 0.000000, 0.000000,  0.002161 , -0.000040,NPC2 , 2 , 0.000000 , 0.000000 , 0.000000 , 8.067435 , 19.972614 , -0.007115 , 20.000000 , -8.000000, 1.567386, 0.000000, 0.000000,  0.000691 , -0.000005,NPC3 , 3 , 0.000000 , 0.000000 , 0.000000 , 11.950249 , 69.952571 , -0.074509 , 70.000000 , -11.700000, 1.566780, 0.000000, 0.000000,  0.001876 , -0.000019,NPC4 , 4 , 0.000000 , 0.000000 , 0.000000 , 8.791109 , 169.940193 , -0.290671 , 170.000000 , -8.000000, 1.563550, 0.000000, 0.000000,  0.001991 , -0.000045,MS1 , 5 , 0.000000 , 0.000000 , 0.000000 , 17.273021 , 299.760818 , -0.527586 , 300.000000 , -15.075000, 1.555571, 0.000000, 0.000000,  0.001923 , -0.000090,MS2 , 6 , 0.000000 , 0.000000 , 0.000000 , 23.378392 , 499.074109 , -0.840372 , 500.000000 , -15.075000, 1.516886, 0.000000, 0.000000,  0.000500 , -0.000320,
35 , 0.285000 , Ego , 0 , 0.000000 , 0.000000 , 0.000000 , 8.380468 , 99.961649 , -0.136567 , 99.997528 , -8.000000, 1.566092, 6.283185, -0.000000, 0.002215 , -0.000027 ,NPC1 , 1 , 0.000000 , 0.000000 , 0.000000 , 5.080019 , 149.970293 , -0.249217 , 150.000000 , -4.425000, 1.564406, 0.000000, 0.000000,  0.002161 , -0.000040,NPC2 , 2 , 0.000000 , 0.000000 , 0.000000 , 8.067435 , 19.972614 , -0.007115 , 20.000000 , -8.000000, 1.567386, 0.000000, 0.000000,  0.000691 , -0.000005,NPC3 , 3 , 0.000000 , 0.000000 , 0.000000 , 11.950249 , 69.952571 , -0.074509 , 70.000000 , -11.700000, 1.566780, 0.000000, 0.000000,  0.001876 , -0.000019,NPC4 , 4 , 0.000000 , 0.000000 , 0.000000 , 8.791109 , 169.940193 , -0.290671 , 170.000000 , -8.000000, 1.563550, 0.000000, 0.000000,  0.001991 , -0.000045,MS1 , 5 , 0.000000 , 0.000000 , 0.000000 , 17.273021 , 299.760818 , -0.527586 , 300.000000 , -15.075000, 1.555571, 0.000000, 0.000000,  0.001923 , -0.000090,MS2 , 6 , 0.000000 , 0.000000 , 0.000000 , 23.378392 , 499.074109 , -0.840372 , 500.000000 , -15.075000, 1.516886, 0.000000, 0.000000,  0.000500 , -0.000320,
42 , 0.299000 , Ego , 0 , 0.000000 , 0.000000 , 0.000000 , 8.380468 , 99.961649 , -0.136567 , 99.997528 , -8.000000, 1.566092, 6.283185, -0.000000, 0.002215 , -0.000027 ,NPC1 , 1 , 0.000000 , 0.000000 , 0.000000 , 5.080019 , 149.970293 , -0.249217 , 150.000000 , -4.425000, 1.564406, 0.000000, 0.000000,  0.002161 , -0.000040,NPC2 , 2 , 0.000000 , 0.000000 , 0.000000 , 8.067435 , 19.972614 , -0.007115 , 20.000000 , -8.000000, 1.567386, 0.000000, 0.000000,  0.000691 , -0.000005,NPC3 , 3 , 0.000000 , 0.000000 , 0.000000 , 11.950249 , 69.952571 , -0.074509 , 70.000000 , -11.700000, 1.566780, 0.000000, 0.000000,  0.001876 , -0.000019,NPC4 , 4 , 0.000000 , 0.000000 , 0.000000 , 8.791109 , 169.940193 , -0.290671 , 170.000000 , -8.000000, 1.563550, 0.000000, 0.000000,  0.001991 , -0.000045,MS1 , 5 , 0.000000 , 0.000000 , 0.000000 , 17.273021 , 299.760818 , -0.527586 , 300.000000 , -15.075000, 1.555571, 0.000000, 0.000000,  0.001923 , -0.000090,MS2 , 6 , 0.000000 , 0.000000 , 0.000000 , 23.378392 , 499.074109 , -0.840372 , 500.000000 , -15.075000, 1.516886, 0.000000, 0.000000,  0.000500 , -0.000320,
49 , 0.313000 , Ego , 0 , 0.000000 , 0.000000 , 0.000000 , 8.380468 , 99.961649 , -0.136567 , 99.997528 , -8.000000, 1.566092, 6.283185, -0.000000, 0.002215 , -0.000027 ,NPC1 , 1 , 0.000000 , 0.000000 , 0.000000 , 5.080019 , 149.970293 , -0.249217 , 150.000000 , -4.425000, 1.564406, 0.000000, 0.000000,  0.002161 , -0.000040,NPC2 , 2 , 0.000000 , 0.000000 , 0.000000 , 8.067435 , 19.972614 , -0.007115 , 20.000000 , -8.000000, 1.567386, 0.000000, 0.000000,  0.000691 , -0.000005,NPC3 , 3 , 0.000000 , 0.000000 , 0.000000 , 11.950249 , 69.952571 , -0.074509 , 70.000000 , -11.700000, 1.566780, 0.000000, 0.000000,  0.001876 , -0.000019,NPC4 , 4 , 0.000000 , 0.000000 , 0.000000 , 8.791109 , 169.940193 , -0.290671 , 170.000000 , -8.000000, 1.563550, 0.000000, 0.000000,  0.001991 , -0.000045,MS1 , 5 , 0.000000 , 0.000000 , 0.000000 , 17.273021 , 299.760818 , -0.527586 , 300.000000 , -15.075000, 1.555571, 0.000000, 0.000000,  0.001923 , -0.000090,MS2 , 6 , 0.000000 , 0.000000 , 0.000000 , 23.378392 , 499.074109 , -0.840372 , 500.000000 , -15.075000, 1.516886, 0.000000, 0.000000,  0.000500 , -0.000320,
56 , 0.328000 , Ego , 0 , 0.000000 , 0.000000 , 0.000000 , 8.380468 , 99.961649 , -0.136567 , 99.997528 , -8.000000, 1.566092, 6.283185, -0.000000, 0.002215 , -0.000027 ,NPC1 , 1 , 0.000000 , 0.000000 , 0.000000 , 5.080019 , 149.970293 , -0.249217 , 150.000000 , -4.425000, 1.564406, 0.000000, 0.000000,  0.002161 , -0.000040,NPC2 , 2 , 0.000000 , 0.000000 , 0.000000 , 8.067435 , 19.972614 , -0.007115 , 20.000000 , -8.000000, 1.567386, 0.000000, 0.000000,  0.000691 , -0.000005,NPC3 , 3 , 0.000000 , 0.000000 , 0.000000 , 11.950249 , 69.952571 , -0.074509 , 70.000000 , -11.700000, 1.566780, 0.000000, 0.000000,  0.001876 , -0.000019,NPC4 , 4 , 0.000000 , 0.000000 , 0.000000 , 8.791109 , 169.940193 , -0.290671 , 170.000000 , -8.000000, 1.563550, 0.000000, 0.000000,  0.001991 , -0.000045,MS1 , 5 , 0.000000 , 0.000000 , 0.000000 , 17.273021 , 299.760818 , -0.527586 , 300.000000 , -15.075000, 1.555571, 0.000000, 0.000000,  0.001923 , -0.000090,MS2 , 6 , 0.000000 , 0.000000 , 0.000000 , 23.378392 , 499.074109 , -0.840372 , 500.000000 , -15.075000, 1.516886, 0.000000, 0.000000,  0.000500 , -0.000320,
63 , 0.345000 , Ego , 0 , 0.000000 , 0.000000 , 0.000000 , 8.380468 , 99.961649 , -0.136567 , 99.997528 , -8.000000, 1.566092, 6.283185, -0.000000, 0.002215 , -0.000027 ,NPC1 , 1 , 0.000000 , 0.000000 , 0.000000 , 5.080019 , 149.970293 , -0.249217 , 150.000000 , -4.425000, 1.564406, 0.000000, 0.000000,  0.002161 , -0.000040,NPC2 , 2 , 0.000000 , 0.000000 , 0.000000 , 8.067435 , 19.972614 , -0.007115 , 20.000000 , -8.000000, 1.567386, 0.000000, 0.000000,  0.000691 , -0.000005,NPC3 , 3 , 0.000000 , 0.000000 , 0.000000 , 11.950249 , 69.952571 , -0.074509 , 70.000000 , -11.700000, 1.566780, 0.000000, 0.000000,  0.001876 , -0.000019,NPC4 , 4 , 0.000000 , 0.000000 , 0.000000 , 8.791109 , 169.940193 , -0.290671 , 170.000000 , -8.000000, 1.563550, 0.000000, 0.000000,  0.001991 , -0.000045,MS1 , 5 , 0.000000 , 0.000000 , 0.000000 , 17.273021 , 299.760818 , -0.527586 , 300.000000 , -15.075000, 1.555571, 0.000000, 0.000000,  0.001923 , -0.000090,MS2 , 6 , 0.000000 , 0.000000 , 0.000000 , 23.378392 , 499.074109 , -0.840372 , 500.000000 , -15.075000, 1.516886, 0.000000, 0.000000,  0.000500 , -0.000320,
